Cell_ID,Receiving_Reach_ID,Receiving_Reach_Location_[0=up;1=dn],Drainage_Area_[ha],Average_Elevation_[m],Average_Aspect_[deg],Land_Slope_[m/m],Sheet_Flow_Slope_[m/m],Sheet_Flow_Length_[m],Shallow_Concentrated_Flow_Slope_[m/m],Shallow_Concentrated_Flow_Length_[m],Concentrated_Flow_Slope_[m/m],Concentrated_Flow_Length_[m],LS_Factor,Aspect_Correlation,Orphan_Raster_Code_[T/F]
6042,604,1,6.7300,187.59,224.76,0.02823,0.02986,50.00,0.02317,50.00,0.02378,561.34,0.407,0.8682,F
6043,604,1,3.2800,182.95,292.66,0.00546,0.00401,50.00,0.00483,50.00,0.00327,232.28,0.099,0.7134,F
6051,605,0,11.0300,188.43,242.72,0.03420,0.01400,50.00,0.02736,50.00,0.02264,486.48,0.477,0.7564,F
6052,605,1,9.8200,183.76,243.00,0.00858,0.01654,50.00,0.03309,50.00,0.01712,684.47,0.139,0.7633,F
6053,605,1,7.8500,183.56,306.61,0.00744,0.00600,50.00,0.00400,50.00,0.00389,412.34,0.125,0.6177,F
6062,606,1,33.6300,185.34,196.59,0.02944,0.00600,50.00,0.00752,50.00,0.00327,536.13,0.428,0.5156,F
6063,606,1,12.8800,186.15,347.77,0.04934,0.01424,50.00,0.03954,50.00,0.04598,226.42,0.816,0.7083,F
6072,607,1,1.4600,187.36,115.13,0.07680,0.02028,50.00,0.04354,50.00,0.05724,63.99,1.202,0.7545,F
6073,607,1,4.4100,189.19,299.71,0.03557,0.00400,50.00,0.00824,50.00,0.02353,328.85,0.529,0.7787,F
6082,608,1,6.2200,189.57,46.34,0.06188,0.02709,50.00,0.07800,50.00,0.02662,121.92,0.948,0.8394,F
6083,608,1,12.6400,190.87,222.91,0.03225,0.00966,50.00,0.01355,50.00,0.02111,466.13,0.474,0.8240,F
6092,609,1,38.6000,194.41,79.93,0.04309,0.01000,50.00,0.00800,50.00,0.02160,472.28,0.630,0.7518,F
6093,609,1,37.2900,193.22,252.95,0.03126,0.02000,50.00,0.00401,50.00,0.01541,655.42,0.448,0.7111,F
6101,610,0,10.1100,196.35,246.11,0.02627,0.01000,50.00,0.01048,50.00,0.01208,515.42,0.362,0.3706,F
6102,610,1,14.3100,194.78,103.37,0.03086,0.01142,50.00,0.01010,50.00,0.01560,556.13,0.439,0.3438,F
6103,610,1,7.2600,193.92,247.05,0.02672,0.01121,50.00,0.01719,50.00,0.02073,247.49,0.382,0.8125,F
6111,611,0,10.0600,196.81,182.15,0.04952,0.01600,50.00,0.04386,50.00,0.01281,562.99,0.708,0.2491,F
6112,611,1,23.5800,196.07,173.73,0.02769,0.01200,50.00,0.00731,50.00,0.01606,571.98,0.381,0.6400,F
6113,611,1,12.6400,196.34,326.84,0.04146,0.00600,50.00,0.02303,50.00,0.02532,345.06,0.617,0.7020,F
6121,612,0,10.0700,198.35,198.34,0.01622,0.00751,50.00,0.00649,50.00,0.01014,523.70,0.235,0.6200,F
6122,612,1,7.2700,194.02,145.58,0.02811,0.01069,50.00,0.01166,50.00,0.01744,213.99,0.389,0.8019,F
6123,612,1,13.7600,194.80,253.31,0.02482,0.00634,50.00,0.00800,50.00,0.01454,470.56,0.352,0.7961,F
6132,613,1,7.5200,189.47,139.92,0.03564,0.01600,50.00,0.02200,50.00,0.02155,303.99,0.491,0.8172,F
6133,613,1,12.5000,191.42,287.99,0.03671,0.01014,50.00,0.01048,50.00,0.02443,345.42,0.534,0.7599,F
