Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
412,Cm,,41,1,24.462,,96.4,,0.06798,220.78,0.579,,,,,0.02402,635.54,,,,0.04036,50.0,0.02933,50.0,,,,,,,,,1
413,LoC3,,41,1,23.8914,,97.8,,0.07387,22.08,0.618,,,,,0.02151,576.45,,,,0.02767,50.0,0.01633,50.0,,,,,,,,,1
422,LoD3,,42,1,21.879,,100.38,,0.05308,191.97,0.445,,,,,0.01921,692.26,,,,0.01969,50.0,0.02631,50.0,,,,,,,,,1
423,Cm,,42,1,8.4006,,98.03,,0.06216,338.87,0.528,,,,,0.0244,503.26,,,,0.04125,50.0,0.05908,50.0,,,,,,,,,1
432,Cm,,43,1,74.5254,,106.7,,0.07259,175.97,0.603,,,,,0.02554,873.95,,,,0.04236,50.0,0.02942,50.0,,,,,,,,,1
433,LoD2,,43,1,54.63,,107.78,,0.09782,324.58,0.831,,,,,0.03385,609.06,,,,0.02768,50.0,0.03002,50.0,,,,,,,,,1
441,Gu,,44,0,17.6841,,113.84,,0.10167,178.47,0.845,,,,,0.02591,729.54,,,,0.03788,50.0,0.03615,50.0,,,,,,,,,1
442,Cm,,44,1,0.2592,,103.69,,0.15443,133.43,1.232,,,,,1e-05,0.0,,,,0.055,50.0,0.17249,11.31,,,,,,,,,1
443,Cm,,44,1,0.4212,,104.35,,0.09773,256.35,0.796,,,,,0.21074,13.76,,,,0.04753,50.0,0.01847,50.0,,,,,,,,,1
452,Cm,,45,1,15.2208,,110.68,,0.06937,218.73,0.574,,,,,0.03256,500.24,,,,0.04768,50.0,0.04953,50.0,,,,,,,,,1
453,LoC3,,45,1,9.1098,,110.77,,0.0857,17.03,0.703,,,,,0.03229,564.91,,,,0.02002,50.0,0.02318,50.0,,,,,,,,,1
461,GrD3,,46,0,15.5457,,120.52,,0.06299,216.97,0.522,,,,,0.01641,594.91,,,,0.03553,50.0,0.04122,50.0,,,,,,,,,1
462,Gu,,46,1,33.2811,,116.03,,0.0736,206.29,0.599,,,,,0.01853,608.9,,,,0.04519,50.0,0.04119,50.0,,,,,,,,,1
463,Gu,,46,1,32.1075,,116.71,,0.07515,351.5,0.623,,,,,0.02997,575.15,,,,0.02935,50.0,0.03828,50.0,,,,,,,,,1
471,LoC3,,47,0,19.035,,118.22,,0.06113,12.55,0.512,,,,,0.02132,523.73,,,,0.03277,50.0,0.05595,50.0,,,,,,,,,1
472,Gu,,47,1,11.0871,,115.08,,0.07094,291.86,0.578,,,,,0.02634,439.32,,,,0.03134,50.0,0.05717,50.0,,,,,,,,,1
473,Gu,,47,1,8.8488,,114.41,,0.10011,74.28,0.819,,,,,0.0301,401.44,,,,0.03553,50.0,0.01485,50.0,,,,,,,,,1
482,Cm,,48,1,1.3959,,96.86,,0.09042,255.1,0.674,,,,,0.03631,106.57,,,,0.0872,50.0,0.04531,50.0,,,,,,,,,1
483,LoD2,,48,1,5.7879,,102.95,,0.12093,39.7,1.022,,,,,0.0588,198.96,,,,0.02788,50.0,0.07615,50.0,,,,,,,,,1
492,LoC3,,49,1,7.5105,,103.96,,0.08258,179.57,0.685,,,,,0.04878,256.67,,,,0.01568,50.0,0.03636,50.0,,,,,,,,,1
493,Cm,,49,1,4.0014,,102.34,,0.10688,327.5,0.92,,,,,0.02951,163.26,,,,0.10013,50.0,0.07787,50.0,,,,,,,,,1
501,LoC3,,50,0,17.154,,117.74,,0.08355,246.31,0.717,,,,,0.02655,517.0,,,,0.018,50.0,0.02252,50.0,,,,,,,,,1
502,LoD3,,50,1,14.5818,,109.87,,0.11275,198.59,0.915,,,,,0.03452,483.79,,,,0.06967,50.0,0.02637,50.0,,,,,,,,,1
503,Gu,,50,1,7.5969,,110.79,,0.09823,339.11,0.824,,,,,0.03552,222.13,,,,0.04543,50.0,0.06475,50.0,,,,,,,,,1
511,LoC3,,51,0,15.9282,,113.33,,0.07134,294.32,0.618,,,,,0.02183,593.56,,,,0.03601,50.0,0.03085,50.0,,,,,,,,,1
